Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,Alaska,Arizona,Arkansas,California,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,VirginIslands,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
13,Compliance Officers,3.88,1.62,1.62,3,3.5,1.62,2.12,2.5,4,4,2.75,1.75,3,1.75,1.62,2.5,4,4,2,2,3,3,2,2,1,74930,91500,79240,73340,98970,93710,91030,108030,79600,73480, ,83510,76660,85040,77900,76440,74210,70930,72190,86690,94030,96880,90870,91420,69630,71770,74470,73350,84720,85740,96970,78900,92310,82190,81750,79810,67440,86590,79890,54910,88880,83350,78950,70580,78540,73800,86330,73700,85780,93560,74820,80180,84510
13,Cost Estimators,3.75,1,1,3,4.12,1.12,4,2,4,4,2.88,1,3,1,1,3,3.88,3.75,2,2,3,2,2,1,1,74390,80130,86960,71230,94880,86460,75120,94530,76900,78110,58770,82860,86460,83240,74550,77600,76930,73380,72410,74420,88870,109770,79810,84690,69980,76550,70750,73150,88960,82120,89320,76790,95580,74660,72880,80580,68560,82570,79420,46600,83520,73070,74760,78460,79210,83630,84260, ,79280,92010,77180,75190,75270
13,Credit Analysts,3.75,1,1,2.88,3.88,1.62,3.75,2.38,3.88,4,3,1,2.88,1,1,1.88,3.88,3.38,1,2,1,1,1,1,1,103280,83420,80340,72580,108520,99540,111300,122740,88210,86550, ,86710,73410,97680,72820,82010,79130,84190,75790,83060,95540,100260,80130,87690,85210,75100,80010,79860,77180,90530,108040,85980,147170,101150,84830,79970,72340,83880,93670,53940,95700,84740,73170,76910,87660,78650,102960, ,111150,96550,63690,85210,78280
13,Credit Counselors,3.75,1.38,1,3.12,3.75,1.5,3.12,2.12,4,4.12,2.62,1,3,1,1,2.12,3.88,3.75,2,2,3,3,2,2,1,49960, ,48470,44940,68820,54680,58690,73060,50330,57570, , ,60540,55210,50760,47460, ,50600,46810,51540,65870,65010,58180,58030,44370,47560,45460,63910,53790,58930,67630,47870,67990,54650,54100,55870,47890,60740,54620, ,60770,50750,60750,52370,48370,69590, , ,56450,64260,44200,54350, 
13,Farm Labor Contractors,2.88,1.88,1,2.12,2.75,2.38,2.12,2.12,3.62,3.5,2.12,2.38,2.75,2,2.12,1.88,2.88,2.88,1,1,2,2,1,2,1, , , , ,73020, , , , , , , , , , , , , , , , , , ,49550, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,Financial Examiners,4.12,1,1,3,4.12,1.12,3.5,2.75,4,4.12,3,1,3.12,1,1,2.38,4.25,4,2,2,2,2,2,2,1,83680,78030,84830,78970,118360,153550,100260,172550,82380,91480, ,66600,84540,107930,87880,88470,93760,85790,102400,78160,99190,103580,80270,102790,97400,95290,92240,85290,89250,126510,119450,85610,138070,99100,90960,79130,95300,90100,96570,43020,97030,85050,93660,95790,87180,96350,82070, ,104870,113320,68130,92190, 
13,Financial Quantitative Analysts,3.88,1.25,1,3.62,3.75,1.5,4.38,2.38,3.88,3.75,2.5,1,3.12,1,1,2,4,3.88,2,2,2,3,1,1,1,81090,82180,89290,63110,104420,84390,97180,130360,73310,82010, ,82940,80550,96770,87420,80320,59460,68700,61160,126550,106060,100300,90470,89920,78810,81570,80150,70300,82860,88180,97980,78190,163990,90800,78600,91480,77750,104380,93300,47310,96000,83210, ,76990,81160,83760,81050, ,92880,86770,85060,69630,79740
13,"Fraud Examiners, Investigators and Analysts",4,1.25,1,3,4,1.38,3,2.62,4.12,4,2.75,1,3.12,1,1,2,4,4.25,2,2,3,3,2,2,1,81090,82180,89290,63110,104420,84390,97180,130360,73310,82010, ,82940,80550,96770,87420,80320,59460,68700,61160,126550,106060,100300,90470,89920,78810,81570,80150,70300,82860,88180,97980,78190,163990,90800,78600,91480,77750,104380,93300,47310,96000,83210, ,76990,81160,83760,81050, ,92880,86770,85060,69630,79740
13,Fundraisers,3.75,1,1,3.75,3.88,1,3,2.38,4,4.12,2,1,2.75,1,1,2.25,4,4,2,2,3,3,2,1,1,59880,66620,66810,53790,86650,77030,70510,78220,73110,69200, ,62210,61100,66010,68120,67310,65460,63220,56810,67690,76080,78270,67880,78020,60100,68160,61760,78150,65830,74810,77080,66850,82350,67440,74550,65980,69870,68330,66440,40550,74440,67030,69620,53920,64950,63490,79220, ,75150,77030,51790,69540,70430
13,Human Resources Specialists,3.88,1.25,1,2.75,3.25,1.5,2.25,2.25,4,4,2,1,2.88,1,1,2,4,3.88,2,2,3,2,2,1,1,69880, ,72850,61630,94720,83200,79540,110050,73310,73920,57640,72430,67510,76880,68680,71660,77880,69920,65310,69970,90080,92230,73560,82260,63130,70430,67120,63770,75380,76280,86070,71260,91490,77920,75080,72860,64530,79310,74640,42870,76760,72850,69140,73120,73890,75190,80830,62370,86260,93800,71210,72060,69680
13,"Insurance Appraisers, Auto Damage",3.25,1.5,1.38,2.38,3.25,2.12,2.62,2,4,4,2.38,1.5,3.12,1.38,1.62,2.38,3.75,3.62,1,2,2,2,1,2,2, , ,80980, ,81890,90390, , ,64400,79780, , , ,61740,78190,76110, ,77150,73090,79550,92850,76640,71610, ,68200,72180, , ,76650, ,87440, ,83960,73850, ,96560,75780,81420,87200,36880,80960,86930, ,76770,68640,73590,70880, ,87150,91730, ,69440, 
13,Insurance Underwriters,3.5,1.25,1,2.88,3.75,1.75,2.88,2.12,3.5,3.62,2.5,1,2.88,1,1,2,3.88,3.75,2,2,2,2,1,1,1,71820,66920,78330,66730,101720,100900,78770,112270,89710,89520,45450,81690,85660,97210,78000,86410,98130,87470,80590,97810,93190,105050,79290,90650,65940,80330,69830,77620,93300,99830,98600,70750,98190,81860,72610,87240,72570,86660,89340,44040,87260,83710,103880,84210,85950,77720,92710, ,88760,106810,61840,87420, 
13,Labor Relations Specialists,3.75,1,1,3.5,3.75,1,2.5,2.75,4.12,4.25,2.5,1,2.88,1,1,2.38,4,4,2,2,3,3,2,2,1,56650,109660,88390,68000,116120,100000,92170,120840,82280,77670, ,107110,85410,99730,84250,82540,72460,58420,73050,98270,96560,102640,76540,97940,70400,91710,80820,83390,96860,105600,115720,90470,109900,89820,95700,85660,82570,103110,89340,55800,93810,73270,92940,75460,83050,93240,92230, ,96500,112910,94330,88080,91290
13,Loan Officers,3.75,1.25,1,3,3.75,2,3.25,2,4,4,2.25,1,3,1,1,1.88,4,3.88,2,2,2,2,2,2,1,78300,80200,65640,83550,94870,96460,90620,155220,82250,87150, ,82030,89820,88570,79640,91590,94250,76190,68580,84090,88000,109310,82830,96180,72540,79000,77480,87780,80660,97290,100160,80640,122170,88100,92790,83610,80490,93460,72020,41880,80110,72060,83250,73980,76010,77600,100750, ,95510,86430,61800,88800,90140
13,Logisticians,4,1.38,1.12,3.38,4,1,3,2.75,4,4,2.75,1,2.88,1,1,3.12,4,3.62,2,2,3,3,2,2,1,95880,90000,90030,79680,97810,87050,97480,120120,76010,77930,67580,98310,80740,78530,80910,83000,61920,74780,83740,87720,107100,102820,85950,89080,79540,76850,78500,71600,79540,76650,97240,95470,93820,83140,76960,86870,85920,99070,80690,52740,83720,79700,94890,68020,79770,87090,84780, ,102580,109960,76380,80440,100930
13,Management Analysts,4,1,1,3.75,4,1,3,2.88,4.12,4.12,2.62,1,3,1,1,2.12,4.12,4,2,2,3,3,2,2,1,111280,107310,117750,80610,120410,120670,107720,127540,98630, ,75770,98350,95070,123900,102060,88840,88230,93360,106420,92730,124430,147330,103930,110810,88590,108950,87290,91750,106490,117180,119130,90440,124510,106830,88880,94320,95320,109090,99540,68700,102370,104240,86410,102350,107550, ,121870,84500,123280,124240,97740,110500,127420
13,Market Research Analysts and Marketing Specialists,4,1,1,4,4.12,1.12,3.38,2.75,4,4,2.75,1,2.88,1,1,2.38,4,4,2,2,2,3,2,1,1,66840,68720,75390,75160,106780,80340,101290,99870,82650,83680,47230,69170,64940,80300,71760,75600,71410,66330,64300,74730,80360,99910,76170,89940,56680,73810,72630,63610,72790,74520,93780,63880,99650,85760,66990,76460,69770,92370,74340,43240,80100,78210,69160,73380,75210,72230,76980,49790,91410,105800,57730,72680,61490
13,"Meeting, Convention, and Event Planners",3.88,1.88,1.25,3.75,3.62,2.25,3,2.38,4,4,2.62,1.62,3.12,2,1.88,3,4,4,2,2,3,3,2,2,1,54960,56950,59560,56430,73840,71840,54990,75330,62660,53290, ,71000,51890,62010,53440,56770,55020,52590,58030,101230,63180,77180,55210,61740,46740,55430,53230,54340,62490,62640,72260,49370,87000,62830,53710,55070,48300,63210,60900,41380,63080,54130,47630,51400,57350,56570,64090,49960,65560,70990,46050,56020,53660
13,Personal Financial Advisors,3.75,1,1,3.12,3.88,1,3.62,2.62,4,4,2.88,1,2.88,1,1,2,4,3.75,2,2,3,3,2,1,1,129240, ,104330,116990,170480,144310,133620,137650,157670,150650, ,124640,143410,153440,158560,129680,164480,162520,166400, ,173120,147450,144370,134100,154090,127820,145440,127430,142290,104340,170950,135110,225930, ,114900,120980,118980,121410,164140,52200,118310,140490,174340,143910,126020,130030,114990, ,155160,156310,132360,158660, 
13,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,1.12,1,3,3.75,1.38,3.12,2.5,4,3.88,2.25,1,2.88,1,1,2,4.12,3.88,2,2,3,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,"Tax Examiners and Collectors, and Revenue Agents",4,1.25,1,2.75,4,1.88,3.12,2.88,4,4,2.88,1,2.88,1,1,2.12,4,3.62,1,2,3,2,1,1,1,59050,98800,88110,59870,79870,86260,74350, ,56820,59530, ,79270,68730,80500,64480,69750,81100,57730,54660,66860,73880,79170,65790,80100,46220,52160,67900,61360,75640,64950,92990,60710,78390,64350,77390,77070, ,71290,60930,47320,76320,65470, ,55490,65510,51660,65050, ,62830,77170,49520,66560,63210
13,Tax Preparers,3.62,1,1,2.88,3.38,1.88,3.25,2.25,3.88,3.5,2.62,1,2.88,1,1,2.12,3.88,3.12,1,2,2,1,1,1,1,34250,71990,57030,44060,69980,55660,46120, ,55000,44260,41510,52800,56980,50710,47470,62170,53500,39080,42540,51500,55630,60620,53760,73290,42000,51130,73270,51320,50890,55220,54240,42110,74550,52810,58790,51560,43930,59910,60460,57140,56750,49250,55350,46290,60320,67460,56050, ,63900,49360,39740,50980,63340
13,Training and Development Specialists,3.75,1,1,3.75,3.62,1,2.5,3,4,4.12,2.62,1,3,1,1,2.38,4,4,2,2,3,3,2,2,1,71650,80580,75090,56500,82040,85040,87940,89560,72640,69710,45640,74150,60980,71590,68730,69300,70090,64540,63840,75830,75700,80520,68990,80390,61800,63550,64800,70930,68100,75410,81030,68800,79360,66300,67940,69820,63460,78090,73230,43400,84380,70480,65680,62830,70440,68760,76530,51750,81200,92210,62640,71870,76990
13,"Wholesale and Retail Buyers, Except Farm Products",3.75,1.75,1.25,3,3.25,2,3.5,2.12,4,4,2.62,1,3,1.5,2,2.5,3.75,3,2,2,3,3,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,Actuaries,4,1,1,3.12,4.12,1,4.62,2.5,4,4,2.75,1,3.25,1,1,2.38,4,4,2,2,2,2,1,1,1,133320, ,124760, ,139640,152210, ,151770,129770, , ,111660,115690,126280,102960,128070,135270,130610,103900,125440,137230,130780,112140,123660,123500,130400, ,108150,131460, ,144990, ,152470,137810, ,121910,107740,133090,131200,68040,120130,115080, ,140000,113490,121520, , ,145430,147630, ,129960, 
15,Bioinformatics Technicians,3.75,1,1,3.25,3.75,1,3.62,2.88,3.75,3.5,3,1,3.5,1,1,3,4,3.62,2,2,2,2,1,1,1, ,77000,88580, ,157580, , ,94940, ,54810, , , ,88180,65180,52550, , , , ,73790,93090,70290, , , , , , , ,63930, ,108230,97130, , , , ,63970, , ,52820, ,64100,93940, , , ,76290,73400, , , 
15,Business Intelligence Analysts,3.75,1.25,1,3.38,4,1,3.5,2,4,4,2.5,1,2.75,1,1,2.25,4,4,2,2,2,2,1,2,1,102970,88690,112460,104560,155450,120270, ,148170,117670,111020, ,124530,120410,119010,92620,97300,107300,100410,71740,101890,135370,139670,102030,118110,77830,95310,111490,97720,98820,102230,131800,86520,133450,118020,94130,100260,89940,124060,107450,72370,119400,96970,92460,114830,114800,119640,119630, ,132230,162730,102770,105540,85480
15,Computer and Information Research Scientists,4.12,1,1,3.88,4.12,2,3.38,2.88,4,4,3,1,2.88,1,1,3.25,3.88,3.75,2,2,2,2,1,2,3,109020, ,158100, ,163890,129200, ,149800,122610,98640, ,140140,162410,129370,90620, , ,94160,111260, ,143220,175700,114760,135220,111360,125930, ,117740, ,138460,147070,178400,201790,132560, ,130930,98010,211010,128790, ,124170,118120, ,103690,115880,103600, , ,159480,204290,187000,171150, 
15,Computer Network Architects,4,1.25,1,3.12,4,2,3,2.62,4,3.75,3,1.25,3,1,1,2.75,4,4,2,2,3,2,1,2,3,126770,118600,128990,121150,150010,141470,126970,147020,132580,134920, ,113820,124160,137110,113890,111560,106720,113150,111800,113460,148490,147100,118280,130280,97430,114730,107780,115140,125020,140330,148960,117330,144910,127820,115190,126060,113800,131960,123100,65010,123270,119460,150720,120720,130090,148470, , ,153960,156410,112540,121420,108700
15,Computer Network Support Specialists,3.88,1,1,3,3.75,2.38,2.38,2.5,3.88,3.75,2.62,1,3.12,1,1.88,2.88,3.62,3.38,2,2,1,1,1,1,3,64680,81490,72430,64910,88950,86780,66940,91040,76940,83690, ,85840,73790,73010,73450,66230,77500,66970,62210,67950,108990,92560,66180,79260,55820,71510,62540,69060,73480,80580,91070,70430,84760,84990,72120,71710,82000,72720,76040,51990,89290,73210,53930,74320,71850,74020,69970,59550,85490,102870,55340,77670,66520
15,Computer Programmers,3.75,1.25,1,3,3.75,2,3.12,2.25,3.88,3.5,2.88,1,3.12,1,1,2.88,4,3.25,2,2,1,2,2,2,2,90900,91550,79220,107330,120060,113290,106800,99070,102550,99580, ,106390,89030,91450,90060,88310,98990,111310,105250,109830,107650,120360,72480,102990,72010,95230,110080,95890,95290,80900,112930,93270,108910,92590,93810,93790,111370,119540,89210,49660,100460,102980,69960,130630,91560,95060,82510, ,113730,159090,71800,104080,95540
15,Computer Systems Analysts,4.12,1.25,1,3.5,3.88,1.88,3,2.5,4,4,3,1.25,2.88,1,1,3.12,4,3.38,2,2,2,2,2,2,3,112430,91780,106930,70300,132940,109000,110640,123720,106640,106610, ,92210,76030,96560,100990,93330,102220,89100,95520,104400,115010,126190,102420,111350,84670,94680,100840,94930,100960,109600,124650,96720,115250,112060,102340,102700,104880,120860,99590,61920,120290,98600,102040,89960,114350,96380,104440,65530,120880,133710,99150,99490,95560
15,Computer Systems Engineers/Architects,4,1.25,1,3.38,4,1.88,3.12,2.88,4,4,3,1.38,3,1,1,2.88,4,4,2,2,2,2,1,1,3,102650,99310,114540,81550,136310,103360,135200,138080,103290,104830, ,110440,104920,104140,96240,103580,99440,92610,95520,107270,135440,113560,103850,107650,84820,93590,83540,92880,110270,97740,120270,110390,115070,113670,76660,104030,97590,114720,107240,57370,100330,106910,104000,75020,113250,101440,112470,143740,130690,133430,118760,87190,92510
15,Computer User Support Specialists,3.62,1.62,1.25,3.12,3.38,2.62,2.62,2.62,4,4,3,1.62,3,1.38,2,2.88,4,3.88,2,2,1,2,2,1,3,51960,62470,65320,51890,81710,70680,66010,79040,62410,63250,36270,59180,56000,60110,57620,58780,53440,55370,59350,58660,69260,76040,58550,67580,50540,57640,54020,58980,58940,69070,70620,50530,70420,60890,62520,58690,54670,65060,60530,38110,63390,55360,49070,58830,58620,64530,68640,50990,70690,73980,58790,60540,58600
15,Database Administrators,4,1.25,1,3.12,3.88,1.75,3.12,2.5,3.88,3.5,3,1.12,3,1.12,1,3,3.88,3.38,2,2,1,2,1,1,3,92930,96600,97340,82780,119060,103400,105850,120470,102900,105590, ,97380,88440,107750,85480,101500,118250,86490,89230,82210,124430,112090,97660,101010,84830,94990,83070,96080,87960,109190,126670,94480,113070,106140,85950,96400,87430,105050,105100,57950,104100,99890,87610,100650,109330,105050,99980, ,113810,118000,73530,104550,73300
15,Database Architects,3.88,1.25,1,3.25,3.75,1.88,3.12,2.5,3.88,3.75,3.12,1,3.25,1,1,2.88,3.88,3.25,2,2,2,2,1,1,2,117510,111570,135080,109380,162820,147910,150060,158550,138280,141590, ,150190,130240,136370,132150,124910,124980,110400, ,134200,143020,161000,117600,127730,92400,112730,124500,129750,124010, ,144260,117620,137840,129750,112830,133170,133880,147530,130130,78160,149350,128340,121220,125840,136930,134470, , , ,147540,132690,140770,68880
15,Information Security Analysts,4,1.38,1,3,4,1.88,2.75,2.25,4,3.75,3,1,3.12,1.12,1,2.75,4,3.88,2,2,2,2,1,2,2,112800,111900,123780,96080,152640,127740,130860,132790,117500,126380, ,128310,145880,119540,91740,116710,100850,102820,101280,99420,145450,129350,107630,126150,89910,107250,99560,103310,111340,128040,141130,131220,139540,122310,101200,115600,92390,132430,114870,62190,117010, ,104120,111840,126800,101430,95800, ,136680,144140,103770,106260,122570
15,Mathematicians,4.12,1,1,3.75,4.12,1,5,2.75,4,3.88,3,1,3,1,1,2.75,4,3.75,2,2,1,2,1,1,1, , , , ,135410, , ,168390,104610, , , , ,123220, , , , , , ,131090, ,70900, , , , , ,105350, ,116290, ,123190, , ,100760, , , , , , , , , , , , ,141720,156610, , , 
15,Network and Computer Systems Administrators,3.75,1.25,1,3.25,3.75,2.5,3,2.75,3.5,3.75,3,2,3.12,1,1,2.88,3.88,3.25,2,2,2,2,1,2,3,86770,94300,94780,83670,114500,107330,97210,118910,96080,97810, ,101920,97400,99180,86790,87170,86900,86140,94640,81700,122000,110010,95790,98600,77130,89960,79150,90300,101770,97250,106960,92730,111440,99650,83990,96810,93550,102150,94420,56800,106660,93710,74480,104740,98170,99480,87950, ,113980,110780,81260,90160,79590
15,Operations Research Analysts,4.12,1,1,3.62,4.12,1,4.5,2.88,4,4,2.75,1,3,1,1,2.12,4,4,2,2,1,2,1,2,1,118370,102840,86510,75670,108220,96720,103380,123890,84420,81560, ,100090,86030,110230,92040,89480,99860,88980,70970,94740,106230,98830,95200,97620,86390,66330,75230,96790,93880,92380,111990,91340,117110,98910,81460,101160,63790,101650,85490,69040,109570,82120, ,83020,101100,84840,104040, ,122680,105680,75510,78880, 
15,Software Quality Assurance Analysts and Testers,4,1.38,1,3,4,2,2.88,2.25,4,4,3.12,1,3,1,1,2.62,4,3.88,2,2,1,1,1,1,3,103760,102280,104440, ,130250,101750,113060,108750,99200,96500, ,102190,100950,102550,92330,90600,86940,80440,62800,82980,122300,112190,96810,107850,80130,80440,100840,90740,101170,109120,118210,126740,120360,103090,84520,90190,70860,112300,94440,58540,98790,92140,65610,87720,105700,116800,85770, ,124540,130110,67610,86930, 
15,Statisticians,3.88,1,1,3.38,4,1,4.75,2.75,4,4,2.88,1,2.88,1,1,2.62,4.12,4,2,2,1,1,1,1,1,76870,90500,102090, ,130530,100840,124240,132570,116860,114320, ,84230, ,121380,110060,90270,101930,107160,78310,85590,127740,108850,104340,90810,65930,76080,86570,86080,85630,123280,114700,76930,147470,128280,81580,91090,94520,94920,99020,49310,91650,70160, ,92460,110910,96070,79450, ,111760,112000,84450,96200, 
15,Video Game Designers,3.75,1.12,1,4.12,3.75,2,2.88,2.62,3.88,3.75,3,1,3.38,1,1,3.25,4,3.88,2,2,3,2,1,2,1,60520,74150,98350,76980,141610,91510,73140,97720,85750,105990,33180,103900,74610,94360,74710,77640,87930,79000,66190,80960,98530,114270,81830,89790,62760,81550,91560,68180,96890,84140,100370,68760,125270,97030,73040,95480,78640,111900,73510,48820,116450,76700,106110,62260,99930,103780,103100, ,77640,137540,89950,86980,66180
15,Web Developers,3.88,1.25,1,3.25,3.5,2,3.12,2.5,3.75,3.25,3,1,3.12,1,1,3.12,3.62,3.12,2,2,2,2,1,1,2,69990,99910,101650,51660,122900,78570,85290,123070,90250,88820, ,115850,82200,96140,80280,72940,79250,86380,70600, ,108190,111670,93220,104110,65830,114790,69910,79870,82080,99380,95810,63630,79370,98930,70370,104010,82400,85710,92930,56150,91880,88910,53140,82020,95310,88410,91270, ,119920,121590,78830,72000, 
17,Aerospace Engineering and Operations Technologists and Technicians,3.88,2,1.38,3,3.88,3,3,2.75,4,4,3.25,2.12,3.12,1.25,2,3.25,4,3.75,2,2,2,2,1,2,3,73940,100140,68510, ,95090,95750, , ,84620, , , , , ,59890, ,72470, , , ,88360,80570,58560, , , , , ,88230, , , ,63610,77290, ,78620,68330,60890, , , ,87940, , ,85020,77500, , ,84730,104320, , , 
17,Aerospace Engineers,4,1,1,3.5,4,1,3.88,2.62,3.88,3.88,3,1,3,1,1,3.25,4.12,3.88,2,2,3,3,1,2,2,136210,114120,143930,101650,157060,125700, ,160830,128500,151320, ,153730,95340,145720,112860,137430,118870,127580,127100,137110,158290,148270,122710,141910,108240,116350, , ,118280, ,142110,141350,131040,120550, ,134650,113010,120210,120670, , ,137870, ,120900,130320,128730,138860, ,143050,159790, ,98540, 
17,Agricultural Engineers,4,1.5,1.38,3.5,4,1.88,3.38,2.25,4,4,2.88,2,3,1.5,1.88,3.62,4,4,2,2,2,2,2,1,2, , , ,76420, , , , ,101800, , , , , ,90470, , , , , , , ,90340, , , , ,95090, , , , , , , ,107640,92010, ,79930,50530, , , , ,117540, , , , , , ,104120, 
